iter	Passed	Remaining
0	5	5016
1	15	7495
2	24	8001
3	33	8252
4	38	7751
5	45	7473
6	54	7790
7	61	7606
8	68	7496
9	74	7375
10	82	7398
11	89	7365
12	95	7259
13	102	7231
14	108	7128
15	115	7098
16	123	7133
17	131	7186
18	136	7071
19	143	7046
20	151	7072
21	159	7107
22	167	7104
23	173	7063
24	182	7100
25	189	7091
26	197	7103
27	205	7117
28	213	7161
29	221	7159
30	228	7157
31	235	7122
32	242	7106
33	251	7144
34	258	7119
35	264	7093
36	271	7078
37	279	7074
38	287	7086
39	294	7061
40	300	7022
41	307	7018
42	317	7065
43	326	7089
44	332	7058
45	339	7031
46	348	7059
47	355	7048
48	363	7049
49	370	7030
50	377	7029
51	386	7037
52	393	7028
53	402	7052
54	410	7054
55	419	7068
56	426	7063
57	432	7031
58	440	7029
59	448	7027
60	452	6964
61	457	6922
62	461	6865
63	467	6841
64	476	6855
65	484	6860
66	492	6857
67	499	6843
68	507	6851
69	515	6845
70	521	6824
71	528	6815
72	535	6794
73	543	6804
74	551	6801
75	560	6810
76	566	6789
77	573	6783
78	582	6790
79	589	6778
80	595	6758
81	602	6749
82	611	6754
83	618	6747
84	626	6745
85	633	6732
86	643	6754
87	650	6746
88	659	6750
89	665	6731
90	674	6734
91	680	6718
92	687	6708
93	693	6684
94	700	6675
95	707	6659
96	715	6658
97	722	6652
98	730	6647
99	739	6652
100	747	6655
101	756	6655
102	762	6637
103	769	6633
104	777	6627
105	788	6649
106	794	6632
107	802	6629
108	810	6626
109	819	6633
110	826	6618
111	834	6613
112	842	6612
113	850	6606
114	857	6597
115	864	6591
116	874	6603
117	881	6588
118	889	6584
119	896	6572
120	905	6578
121	912	6569
122	920	6563
123	929	6566
124	937	6562
125	944	6550
126	953	6552
127	960	6543
128	965	6522
129	970	6495
130	976	6474
131	983	6468
132	989	6451
133	996	6439
134	1004	6435
135	1012	6434
136	1021	6434
137	1028	6421
138	1035	6416
139	1042	6406
140	1051	6407
141	1058	6394
142	1065	6387
143	1072	6375
144	1081	6374
145	1088	6368
146	1100	6384
147	1112	6401
148	1122	6409
149	1134	6431
150	1157	6508
151	1166	6505
152	1173	6496
153	1180	6484
154	1192	6498
155	1206	6529
156	1214	6522
157	1221	6508
158	1229	6501
159	1238	6503
160	1253	6534
161	1259	6516
162	1267	6509
163	1276	6507
164	1284	6498
165	1301	6537
166	1310	6539
167	1317	6524
168	1323	6508
169	1332	6503
170	1341	6501
171	1350	6501
172	1356	6485
173	1365	6483
174	1373	6475
175	1381	6468
176	1390	6464
177	1399	6461
178	1406	6450
179	1414	6442
180	1420	6425
181	1428	6418
182	1436	6414
183	1446	6413
184	1452	6399
185	1461	6397
186	1468	6383
187	1474	6367
188	1480	6352
189	1487	6340
190	1493	6326
191	1500	6314
192	1506	6300
193	1513	6286
194	1519	6273
195	1528	6269
196	1535	6257
197	1544	6257
198	1551	6243
199	1558	6235
200	1566	6225
201	1573	6218
202	1580	6205
203	1586	6192
204	1595	6186
205	1603	6180
206	1611	6172
207	1617	6157
208	1623	6145
209	1632	6139
210	1638	6128
211	1646	6119
212	1653	6108
213	1662	6104
214	1667	6089
215	1675	6079
216	1684	6079
217	1695	6081
218	1701	6066
219	1708	6058
220	1714	6042
221	1722	6036
222	1731	6032
223	1738	6021
224	1746	6014
225	1753	6006
226	1761	5997
227	1770	5995
228	1778	5988
229	1790	5994
230	1799	5991
231	1808	5985
232	1815	5974
233	1822	5967
